"phecode","range_start","range_end"
710.3,710.00,716.99
836,830.00,839.99
835,830.00,839.99
740.1,740.00,740.99
740.12,740.00,740.99
740.3,740.00,740.99
716.1,710.00,716.99
716.2,710.00,716.99
716.9,710.00,716.99
721.2,720.00,724.99
721.8,720.00,724.99
722.7,720.00,724.99
722.8,720.00,724.99
722.9,720.00,724.99
735.22,735.00,739.99
735.21,735.00,739.99
735.3,735.00,739.99
735.23,735.00,739.99
736.4,735.00,739.99
747.1,747.00,747.99
747.2,747.00,747.99
747.12,747.00,747.99
656.3,656.00,656.99
656.2,656.00,656.99
750.11,750.00,751.99
750.1,750.00,751.99
750.2,750.00,751.99
750.13,750.00,751.99
750.14,750.00,751.99
750.15,750.00,751.99
750.21,750.00,751.99
750.22,750.00,751.99
751.1,750.00,751.99
751.11,750.00,751.99
751.12,750.00,751.99
751.2,750.00,751.99
751.21,750.00,751.99
751.3,750.00,751.99
751.22,750.00,751.99
752.1,752.00,754.99
752.11,752.00,754.99
752.2,752.00,754.99
747.11,747.00,747.99
747.13,747.00,747.99
749.1,747.00,759.99
753.2,752.00,754.99
755.1,754.00,756.99
740.9,740.00,740.99
755.3,754.00,756.99
755.61,754.00,756.99
755.4,754.00,756.99
755.6,754.00,756.99
754.1,754.00,756.99
754.2,754.00,756.99
756.1,754.00,756.99
756.2,754.00,756.99
758.1,756.00,759.99
740.11,740.00,740.99
